Location,TST,Tag,Age,Sex,Nasal,Jaw,FAMACHA,BCS,Dag,Status,Weight,Lactation,Visit,Date,FEC,TFEC,month,plant,farm,time,tx2,month2
MAZINGA,Plant,37,1,F,0,0,2,2,0,Healthy,29.9,Pregnant,1,27/02/2020,400,400,February,mtawa,P7,0,nonepl,2
MAZINGA,Plant,38,1.5,F,0,0,2,2,0,Healthy,25.9,Pregnant,1,27/02/2020,600,650,February,mtawa,P7,0,nonepl,2
MAZINGA,Plant,41,4.5,F,0,0,2,2.5,0,Healthy,36.7,Lactating,1,07/05/2020,50,50,May,kakhobo,P9,0,nonepl,5
MAZINGA,Plant,42,4,F,0,0,2,2,0,Healthy,29.9,Lactating,1,07/05/2020,300,300,May,kakhobo,P9,0,nonepl,5
MAZINGA,Plant,43,4,F,0,0,2,2,0,Healthy,29.9,Lactating,1,07/05/2020,500,550,May,kakhobo,P9,0,nonepl,5
MAZINGA,Plant,44,2,F,,,,,,NR,,,1,07/05/2020,,.,May,kakhobo,P9,0,,5
MAZINGA,Plant,45,1,F,0,0,2,2.5,0,Healthy,23.1,Lactating,1,07/05/2020,250,250,May,mtawa,P8,0,nonepl,5
MAZINGA,Plant,46,4.5,F,0,0,2,2.5,0,Healthy,36.7,Lactating,1,07/05/2020,1250,1250,May,mtawa,P8,0,nonepl,5
MAZINGA,Plant,47,4.5,F,0,0,2,2.5,0,Healthy,40.8,Lactating,1,07/05/2020,150,150,May,mtawa,P8,0,nonepl,5
MAZINGA,Plant,48,1,F,0,0,2,1.5,0,Borderline,25.9,Lactating,1,03/12/2020,1100,,December,mtawa,P8,0,plantpl,12
CHINKHOWE,Plant,50,3,F,0,0,2,2,0,Healthy,29.9,Lactating,1,05/02/2020,350,350,February,gmelina,P15,0,nonepl,2
CHINKHOWE,Plant,51,4.5,F,1,0,4,1.5,0,Sick,32.6,Lactating,1,05/02/2020,2050,2050,February,gmelina,P15,0,drugpl,2
CHINKHOWE,Plant,52,3,F,0,0,3,1.5,0,Borderline,29.9,Lactating,1,05/02/2020,2000,2000,February,gmelina,P15,0,plantpl,2
CHINKHOWE,Plant,53,4,F,0,0,3,2,0,Borderline,32.6,Lactating,1,05/02/2020,1900,1900,February,gmelina,P15,0,plantpl,2
CHINKHOWE,Plant,54,1,F,0,0,2,2.5,0,Healthy,34.2,Pregnant,1,29/10/2020,200,,October,gmelina,P15,0,nonepl,10
CHINKHOWE,Plant,57,2,F,0,0,2,2,0,Healthy,29.9,Pregnant,1,05/02/2020,,.,February,mtawa,P16,0,nonepl,2
CHINKHOWE,Plant,58,1,F,0,0,3,2,0,Borderline,23.1,NotLactating,1,05/02/2020,2900,2900,February,mtawa,P16,0,plantpl,2
CHINKHOWE,Plant,59,3,F,0,0,2,2,0,Healthy,23.1,NotLactating,1,05/02/2020,2500,2500,February,mtawa,P16,0,nonepl,2
CHINKHOWE,Plant,60,1,F,0,0,2,2,0,Healthy,24.5,Pregnant,1,20/08/2020,300,,August,mtawa,P16,0,nonepl,8
CHINKHOWE,Plant,61,1,F,0,0,2,2,0,Healthy,25.9,Pregnant,1,12/11/2020,0,,November,mtawa,P16,0,nonepl,11
CHINKHOWE,Plant,63,3,F,0,0,3,1.5,0,Borderline,24.5,Lactating,1,05/02/2020,3600,3600,February,gmelina,P17,0,plantpl,2
CHINKHOWE,Plant,64,1,F,0,0,2,2,0,Healthy,27.2,Lactating,1,05/02/2020,1550,1550,February,gmelina,P17,0,nonepl,2
CHINKHOWE,Plant,65,1,F,0,0,2,2,0,Healthy,25.9,Pregnant,1,05/02/2020,1600,1700,February,gmelina,P17,0,nonepl,2
CHINKHOWE,Plant,66,3,F,0,0,2,1.5,0,Borderline,35.4,Pregnant,1,05/02/2020,10850,10850,February,gmelina,P17,0,plantpl,2
CHINKHOWE,Plant,67,1,F,0,0,2,2.5,0,Healthy,23.1,Pregnant,1,05/02/2020,,.,February,gmelina,P17,0,nonepl,2
CHINKHOWE,Plant,68,3,F,0,0,2,1.5,0,Borderline,31.3,Lactating,1,05/02/2020,8850,8850,February,gmelina,P17,0,plantpl,2
CHINKHOWE,Plant,72,4,F,0,0,3,2,0,Borderline,35.4,Lactating,1,05/02/2020,9900,10350,February,gmelina,P18,0,plantpl,2
CHINKHOWE,Plant,73,3,F,0,0,3,2,0,Borderline,27.2,Lactating,1,05/02/2020,3750,3750,February,gmelina,P18,0,plantpl,2
CHINKHOWE,Plant,74,1,F,0,0,4,2,0,Sick,23.1,NotLactating,1,05/02/2020,650,650,February,gmelina,P18,0,drugpl,2
CHINKHOWE,Plant,75,4,F,0,0,4,2,0,Sick,34.2,Lactating,1,05/02/2020,5200,5200,February,gmelina,P18,0,drugpl,2
CHINKHOWE,Plant,79,3,F,0,0,3,2,0,Borderline,29.9,NotLactating,1,05/02/2020,6450,6450,February,kakhobo,P19,0,plantpl,2
CHINKHOWE,Plant,80,4,F,0,0,2,1.5,1,Borderline,32.6,Pregnant,1,05/02/2020,550,550,February,kakhobo,P19,0,plantpl,2
CHINKHOWE,Plant,81,3,F,0,0,3,1.5,0,Borderline,31.3,Lactating,1,05/02/2020,6400,6400,February,kakhobo,P19,0,plantpl,2
CHINKHOWE,Plant,82,4,F,0,0,4,1.5,0,Sick,29.9,Lactating,1,05/02/2020,12800,12800,February,kakhobo,P19,0,drugpl,2
CHINKHOWE,Plant,86,4,F,0,0,2,2,0,Healthy,32.6,Lactating,1,05/02/2020,750,750,February,mtawa,P20,0,nonepl,2
CHINKHOWE,Plant,87,2.5,F,0,0,3,2,0,Healthy,28.6,Lactating,1,05/02/2020,,.,February,mtawa,P20,0,nonepl,2
CHINKHOWE,Plant,91,4,F,0,0,2,2.5,0,Healthy,28.6,NotLactating,1,05/02/2020,1750,1750,February,kakhobo,P21,0,nonepl,2
CHINKHOWE,Plant,92,4.5,F,0,1,4,1.5,0,Sick,28.6,Lactating,1,05/02/2020,19600,19700,February,kakhobo,P21,0,drugpl,2
CHINKHOWE,Plant,93,4.5,F,0,0,2,1.5,0,Borderline,35.4,Lactating,1,05/02/2020,17700,17850,February,kakhobo,P21,0,plantpl,2
CHINKHOWE,Plant,95,1,F,0,0,2,2,0,Healthy,20.4,NotLactating,1,18/09/2020,0,,September,mtawa,P22,0,nonepl,9
CHINKHOWE,Plant,96,2,F,0,0,2,1.5,0,Borderline,16.8,NotLactating,1,06/08/2020,,,August,mtawa,P22,0,plantpl,8
CHINKHOWE,Plant,97,4,F,0,0,1,1.5,0,Borderline,29.9,Lactating,1,05/02/2020,300,300,February,mtawa,P22,0,plantpl,2
CHINKHOWE,Plant,98,1.5,F,0,0,2,2,0,Healthy,19.1,Lactating,1,05/02/2020,7950,7950,February,mtawa,P22,0,nonepl,2
CHINKHOWE,Plant,99,3,F,0,0,1,2.5,0,Healthy,25.1,Pregnant,1,05/02/2020,2600,2600,February,mtawa,P22,0,nonepl,2
KAMCHEZERA,Drug,100,3,F,0,0,2,2,0,Healthy,27.2,Lactating,1,31/01/2020,200,200,January,,D1,0,nonedr,1
KAMCHEZERA,Drug,101,2,F,0,0,2,3,0,Healthy,25.9,Pregnant,1,31/01/2020,,.,January,,D1,0,nonedr,1
KAMCHEZERA,Drug,102,4.5,F,0,0,2,2,0,Healthy,31.3,Pregnant,1,28/08/2020,100,.,August,,D1,0,nonedr,8
KAMCHEZERA,Drug,105,1,F,0,0,3,1.5,0,Borderline,21.8,Lactating,1,31/01/2020,4400,4400,January,,D3,0,plantdr,1
KAMCHEZERA,Drug,106,1,F,0,0,2,2,0,Healthy,31.3,Pregnant,1,31/01/2020,700,700,January,,D3,0,nonedr,1
KAMCHEZERA,Drug,107,1,F,0,0,2,2.5,0,Healthy,28.6,NotLactating,1,31/01/2020,200,200,January,,D3,0,nonedr,1
KAMCHEZERA,Drug,108,3,F,0,0,4,1.5,0,Sick,24.5,NotLactating,1,31/01/2020,2700,2900,January,,D3,0,drugdr,1
KAMCHEZERA,Drug,111,1,F,0,0,3,2,0,Borderline,27.2,Pregnant,1,31/01/2020,3300,3300,January,,D6,0,plantdr,1
KAMCHEZERA,Drug,114,4,F,0,0,3,2,0,Borderline,38.1,Lactating,1,31/01/2020,,.,January,,D7,0,plantdr,1
KAMCHEZERA,Drug,115,3,F,0,0,3,1.5,0,Borderline,27.2,Pregnant,1,31/01/2020,1500,1500,January,,D7,0,plantdr,1
KAMCHEZERA,Drug,116,3.5,F,0,0,3,1.5,0,Borderline,34.2,Lactating,1,31/01/2020,1400,1400,January,,D7,0,plantdr,1
MKWINDA,Drug,120,3,F,0,0,3,1.5,0,Borderline,31.3,Lactating,1,04/02/2020,650,650,February,,D11,0,plantdr,2
MKWINDA,Drug,121,3.5,F,0,0,3,2,0,Borderline,27.2,Lactating,1,04/02/2020,3600,3600,February,,D11,0,plantdr,2
MKWINDA,Drug,122,2,F,0,0,2,2,0,Healthy,19.1,Lactating,1,04/02/2020,1050,1050,February,,D11,0,nonedr,2
MKWINDA,Drug,123,2,F,1,0,3,1.5,1,Borderline,23.1,Lactating,1,04/02/2020,1750,1750,February,,D11,0,plantdr,2
MKWINDA,Drug,128,4,F,1,0,3,2.5,0,Borderline,29.9,NotLactating,1,04/02/2020,5750,5750,February,,D12,0,plantdr,2
MKWINDA,Drug,132,1.5,F,0,0,2,2,0,Healthy,32.6,Pregnant,1,04/02/2020,,.,February,,D14,0,nonedr,2
MKWINDA,Drug,135,4,F,0,0,2,2,0,Healthy,31.3,Lactating,1,04/02/2020,1100,1100,February,,D16,0,nonedr,2
MKWINDA,Drug,136,1,F,0,0,2,2,0,Healthy,17.7,NotLactating,1,04/02/2020,2650,2650,February,,D16,0,nonedr,2
MKWINDA,Drug,137,4,F,0,0,2,2,0,Healthy,28.6,Lactating,1,04/02/2020,850,850,February,,D16,0,nonedr,2
KAMCHEZERA,Drug,138,1,F,0,0,2,2,0,Healthy,27.2,Lactating,1,14/02/2020,5200,5200,February,,D7,0,nonedr,2
KAMCHEZERA,Drug,139,1.5,F,1,0,3,1.5,0,Borderline,29.9,Lactating,1,14/02/2020,12750,12750,February,,D7,0,plantdr,2
KAMCHEZERA,Drug,140,1,F,0,0,2,2.5,0,Healthy,24.5,NotLactating,1,17/07/2020,350,.,July,,D9,0,nonedr,7
KAMCHEZERA,Drug,141,1.5,F,1,0,2,2,0,Healthy,23.1,NotLactating,1,17/07/2020,,.,July,,D9,0,nonedr,7
MKWINDA,Drug,142,2,F,0,0,2,1,0,Sick,17.7,NotLactating,1,03/03/2020,0,0,March,,D17,0,drugdr,3
MKWINDA,Drug,143,4,F,0,0,2,1.5,0,Borderline,27.2,NotLactating,1,03/03/2020,1500,1500,March,,D17,0,plantdr,3
MKWINDA,Drug,150,4.5,F,0,0,2,1.5,0,Borderline,32.6,Lactating,1,17/03/2020,5250,5450,March,,D18,0,plantdr,3
MKWINDA,Drug,151,4,F,0,0,2,2,0,Healthy,25.4,NotLactating,1,17/03/2020,1250,1250,March,,D18,0,nonedr,3
MKWINDA,Drug,152,4.5,F,0,0,3,1.5,0,Borderline,29.9,Lactating,1,17/03/2020,12050,12050,March,,D18,0,plantdr,3
MKWINDA,Drug,153,4.5,F,,,,,,NR,,,1,15/04/2020,,.,April,,D18,0,,4
MKWINDA,Drug,156,4,F,0,0,2,2,0,Healthy,39.5,NotLactating,1,30/09/2020,100,,September,,D13,0,nonedr,9
MAZINGA,Plant,200,2,F,0,0,4,2,0,Sick,19.1,NotLactating,1,02/07/2020,,.,July,mtawa,P10,0,drugpl,7
MAZINGA,Plant,201,3,F,0,0,2,2.5,0,Healthy,36.7,Lactating,1,16/07/2020,200,,July,mtawa,P10,0,nonepl,7
MAZINGA,Plant,205,1.5,F,0,0,2,2.5,0,Healthy,27.2,NotLactating,1,02/07/2020,350,.,July,mtawa,P11,0,nonepl,7
MAZINGA,Plant,206,3,F,0,0,3,1,0,Sick,23.1,Lactating,1,02/07/2020,100,.,July,mtawa,P11,0,drugpl,7
MAZINGA,Plant,207,2,F,0,0,2,2,0,Healthy,24.5,NotLactating,1,02/07/2020,200,.,July,mtawa,P11,0,nonepl,7
MAZINGA,Plant,210,3,F,0,0,2,2,0,Healthy,25.9,NotLactating,1,13/08/2020,100,,August,mtawa,P12,0,nonepl,8
MAZINGA,Plant,211,4.5,F,0,0,2,2.5,0,Healthy,31.3,NotLactating,1,13/08/2020,0,,August,mtawa,P12,0,nonepl,8
MAZINGA,Plant,212,3,F,0,0,2,2,0,Healthy,29.9,NotLactating,1,13/08/2020,350,,August,mtawa,P12,0,nonepl,8
MAZINGA,Plant,213,4.5,F,0,0,2,2.5,0,Healthy,36.7,Lactating,1,13/08/2020,50,,August,mtawa,P12,0,nonepl,8
MAZINGA,Plant,214,1,F,0,0,2,2,0,Healthy,20.4,NotLactating,1,05/11/2020,50,,November,mtawa,P12,0,nonepl,11
MAZINGA,Plant,215,4,F,0,0,2,2,0,Healthy,28.6,NotLactating,1,19/11/2020,1050,,November,mtawa,P12,0,nonepl,11
MAZINGA,Plant,217,4.5,F,0,0,2,2.5,0,Healthy,42.2,Lactating,1,08/10/2020,350,,October,kakhobo,P13,0,nonepl,10
MAZINGA,Plant,218,3,F,0,0,2,2,0,Healthy,28.6,Lactating,1,08/10/2020,350,,October,kakhobo,P13,0,nonepl,10
MAZINGA,Plant,219,2,F,0,0,2,2.5,0,Healthy,31.3,Pregnant,1,08/10/2020,300,,October,kakhobo,P13,0,nonepl,10
CHINKHOWE,Plant,300,3,F,0,0,2,2,0,Healthy,28.6,Lactating,1,05/02/2020,1250,1250,February,mtawa,P23,0,nonepl,2
CHINKHOWE,Plant,301,3,M,0,0,2,2.5,0,Healthy,35.4,,1,05/02/2020,300,300,February,mtawa,P23,0,nonepl,2
CHINKHOWE,Plant,302,4,F,0,0,2,2,0,Healthy,32.6,Lactating,1,05/02/2020,1700,1800,February,mtawa,P23,0,nonepl,2
CHINKHOWE,Plant,303,1,F,0,0,2,2.5,0,Healthy,27.2,Pregnant,1,26/11/2020,300,,November,mtawa,P23,0,nonepl,11
CHINKHOWE,Plant,305,3,F,0,0,2,2.5,0,Healthy,34.2,NotLactating,1,18/09/2020,50,,September,mtawa,P24,0,nonepl,9
CHINKHOWE,Plant,306,3,F,0,0,1,2.5,0,Healthy,35.4,Pregnant,1,18/09/2020,0,,September,mtawa,P24,0,nonepl,9
CHINKHOWE,Plant,602,1,F,0,0,2,2,0,Healthy,17.1,Lactating,1,18/09/2020,100,,September,mtawa,P20,0,nonepl,9
MKWINDA,Drug,10757,2.5,F,0,0,2,1.5,0,Borderline,25.9,Pregnant,1,03/03/2020,2850,2850,March,,D17,0,plantdr,3
KAMCHEZERA,Drug,26058,4.5,F,0,0,2,2,1,Healthy,19.1,NotLactating,1,10/04/2020,300,300,April,,D8,0,nonedr,4
KAMCHEZERA,Drug,26059,4.5,F,0,0,2,2,1,Healthy,32.6,NotLactating,1,10/04/2020,,.,April,,D8,0,nonedr,4
KAMCHEZERA,Drug,26060,2,F,0,0,2,2,0,Healthy,21.8,NotLactating,1,10/04/2020,,.,April,,D8,0,nonedr,4
KAMCHEZERA,Drug,26065,1,F,0,0,3,2,0,Borderline,23.1,Lactating,1,31/01/2020,500,500,January,,D1,0,plantdr,1
KAMCHEZERA,Drug,26075,3,F,0,0,4,2,0,Sick,27.2,Lactating,1,31/01/2020,500,500,January,,D5,0,drugdr,1
KAMCHEZERA,Drug,26077,1.5,F,0,0,2,3.5,0,Healthy,34.2,Pregnant,1,31/01/2020,,.,January,,D6,0,nonedr,1
KAMCHEZERA,Drug,26085,2,F,0,0,2,2,0,Healthy,23.1,Lactating,1,06/11/2020,1800,,November,,D27,0,nonedr,11
MKWINDA,Drug,26383,1,M,0,0,3,2,0,Borderline,27.2,,1,04/02/2020,6050,6050,February,,D15,0,plantdr,2
MKWINDA,Drug,26437,2,F,0,0,2,2,0,Healthy,27.2,Lactating,1,04/02/2020,3150,3150,February,,D13,0,nonedr,2
KAMCHEZERA,Drug,26529,3,F,0,0,3,2,0,Borderline,25.9,Lactating,1,31/01/2020,100,100,January,,D4,0,plantdr,1
KAMCHEZERA,Drug,26549,3,F,0,0,4,2.5,0,Sick,36.7,Lactating,1,31/01/2020,10100,10100,January,,D3,0,drugdr,1
KAMCHEZERA,Drug,26552,1,F,0,0,3,1.5,0,Borderline,23.1,Lactating,1,31/01/2020,1700,1700,January,,D6,0,plantdr,1
KAMCHEZERA,Drug,26553,1,F,0,0,4,1,0,Sick,23.1,Lactating,1,31/01/2020,500,500,January,,D6,0,drugdr,1
KAMCHEZERA,Drug,26558,2.5,F,0,0,2,2.5,0,Healthy,23.1,Lactating,1,11/09/2020,150,.,September,,D26,0,nonedr,9
KAMCHEZERA,Drug,26559,1,F,0,0,2,2,0,Healthy,23.1,NotLactating,1,11/09/2020,,.,September,,D26,0,nonedr,9
KAMCHEZERA,Drug,26560,2,F,0,0,2,2.5,0,Healthy,32.6,Lactating,1,11/09/2020,,.,September,,D26,0,nonedr,9
KAMCHEZERA,Drug,26607,2,F,0,0,2,3,0,Healthy,25.9,Pregnant,1,06/11/2020,150,,November,,D1,0,nonedr,11
KAMCHEZERA,Drug,26608,1,F,0,0,2,2.5,0,Healthy,28.6,Lactating,1,06/11/2020,200,,November,,D1,0,nonedr,11
KAMCHEZERA,Drug,26624,3,F,0,0,2,2.5,0,Healthy,27.2,NotLactating,1,06/11/2020,0,,November,,D27,0,nonedr,11
KAMCHEZERA,Drug,26625,1.5,F,0,0,2,2,0,Healthy,29.9,Pregnant,1,06/11/2020,,,November,,D27,0,nonedr,11
KAMCHEZERA,Drug,26626,2.5,F,1,0,2,1,0,Sick,27.2,Lactating,1,28/08/2020,300,.,August,,D25,0,drugdr,8
KAMCHEZERA,Drug,26627,4,F,1,0,2,2,0,Healthy,20.4,NotLactating,1,28/08/2020,,.,August,,D25,0,nonedr,8
KAMCHEZERA,Drug,26628,4.5,F,0,0,3,2,0,Borderline,27.2,Pregnant,1,28/08/2020,150,.,August,,D25,0,plantdr,8
KAMCHEZERA,Drug,26629,4.5,F,1,0,2,1,4,Sick,27.2,NotLactating,1,28/08/2020,,.,August,,D25,0,drugdr,8
KAMCHEZERA,Drug,26630,4.5,F,1,0,2,2,0,Healthy,27.2,NotLactating,1,28/08/2020,50,.,August,,D25,0,nonedr,8
KAMCHEZERA,Drug,26631,3,F,1,0,3,1.5,0,Borderline,20.4,NotLactating,1,28/08/2020,50,.,August,,D25,0,plantdr,8
KAMCHEZERA,Drug,26632,3.5,F,1,0,3,2,0,Borderline,25.9,Pregnant,1,28/08/2020,0,.,August,,D25,0,plantdr,8
KAMCHEZERA,Drug,26633,4.5,F,0,0,2,2,0,Healthy,34.2,Pregnant,1,28/08/2020,0,,August,,D25,0,nonedr,8
KAMCHEZERA,Drug,26634,4.5,M,0,0,2,2,0,Healthy,44,,1,28/08/2020,0,.,August,,D25,0,nonedr,8
KAMCHEZERA,Drug,26640,2,F,0,0,2,1.5,0,Borderline,23.1,Lactating,1,17/07/2020,1350,.,July,,D9,0,plantdr,7
KAMCHEZERA,Drug,26643,3,F,0,0,2,2,0,Healthy,28.6,Pregnant,1,28/08/2020,0,.,August,,D25,0,nonedr,8
KAMCHEZERA,Drug,26655,4,F,0,0,2,2,0,Healthy,29.9,Lactating,1,20/11/2020,0,,November,,D1,0,nonedr,11
MKWINDA,Drug,26909,1,F,0,0,2,2,0,Healthy,32.6,NotLactating,1,19/08/2020,0,.,August,,D12,0,nonedr,8
MKWINDA,Drug,26910,4,F,1,0,3,2,0,Borderline,29.9,Lactating,1,04/02/2020,1850,1850,February,,D12,0,plantdr,2
MKWINDA,Drug,27049,2,F,0,0,2,2.5,0,Healthy,36.7,Lactating,1,10/06/2020,,.,June,,D15,0,nonedr,6
MKWINDA,Drug,27097,1,F,0,0,,2.5,0,Healthy,31.3,NotLactating,1,05/08/2020,50,,August,,D11,0,nonedr,8
MKWINDA,Drug,27098,1,F,0,0,1,2.5,0,Healthy,38.1,NotLactating,1,05/08/2020,0,,August,,D11,0,nonedr,8
MKWINDA,Drug,27104,1,F,0,0,2,2.5,0,Healthy,34.2,Pregnant,1,02/09/2020,150,,September,,D13,0,nonedr,9
MKWINDA,Drug,27106,1,F,0,0,2,2.5,0,Healthy,27.2,NotLactating,1,05/08/2020,0,,August,,D13,0,nonedr,8
MAZINGA,Plant,94713,3.5,F,0,0,2,2,0,Healthy,39.5,NotLactating,1,30/01/2020,900,900,January,mtawa,P1,0,nonepl,1
MAZINGA,Plant,94714,3,F,1,0,2,2,2,Healthy,32.6,Pregnant,1,30/01/2020,100,100,January,mtawa,P1,0,nonepl,1
KAMCHEZERA,Drug,95225,3,F,0,0,3,1.5,0,Borderline,28.6,Lactating,1,10/04/2020,0,0,April,,D8,0,plantdr,4
KAMCHEZERA,Drug,95341,3,F,0,0,3,2.5,0,Borderline,39.5,Lactating,1,31/01/2020,400,400,January,,D2,0,plantdr,1
KAMCHEZERA,Drug,95463,3,F,0,0,2,2.5,0,Healthy,36.7,Lactating,1,31/01/2020,4100,4100,January,,D1,0,nonedr,1
KAMCHEZERA,Drug,95508,4,F,0,0,2,2.5,0,Healthy,35.4,Lactating,1,17/07/2020,300,.,July,,D10,0,nonedr,7
MAZINGA,Plant,95601,4.5,F,1,0,2,2,0,Healthy,40.8,Pregnant,1,08/10/2020,850,,October,kakhobo,P13,0,nonepl,10
MAZINGA,Plant,95627,4,F,1,0,2,1,1,Sick,36.7,Lactating,1,30/01/2020,4300,4300,January,mtawa,P3,0,drugpl,1
MAZINGA,Plant,95646,4.5,F,0,0,2,3,0,Healthy,39.5,NotLactating,1,16/07/2020,50,,July,mtawa,P10,0,nonepl,7
MAZINGA,Plant,95655,4.5,F,0,0,3,1.5,0,Borderline,36.7,NotLactating,1,30/01/2020,1300,1300,January,mtawa,P4,0,plantpl,1
MKWINDA,Drug,95692,4,F,1,0,2,2.5,0,Healthy,40.8,Lactating,1,04/02/2020,1650,1650,February,,D12,0,nonedr,2
MKWINDA,Drug,97890,4.5,F,1,0,3,1,0,Sick,35.4,Lactating,1,04/02/2020,500,500,February,,D11,0,drugdr,2
MKWINDA,Drug,97895,4,F,0,0,2,2,0,Healthy,40.8,Lactating,1,04/02/2020,1200,1200,February,,D11,0,nonedr,2
KAMCHEZERA,Drug,97957,4,F,0,0,2,2,0,Healthy,34.2,Pregnant,1,17/07/2020,200,.,July,,D10,0,nonedr,7
KAMCHEZERA,Drug,98021,4,F,0,0,2,2,0,Healthy,27.2,Lactating,1,06/11/2020,200,,November,,D27,0,nonedr,11
MKWINDA,Drug,98175,4,F,0,0,2,2,0,Healthy,24.5,NotLactating,1,17/03/2020,1750,1750,March,,D18,0,nonedr,3
MKWINDA,Drug,98263,4,F,0,0,2,2,0,Healthy,35.4,Pregnant,1,04/02/2020,1100,1100,February,,D15,0,nonedr,2
MKWINDA,Drug,98266,4,F,0,0,2,2.5,0,Healthy,39.5,Lactating,1,04/02/2020,1100,1100,February,,D15,0,nonedr,2
KAMCHEZERA,Drug,98453,4.5,F,0,0,2,2.5,0,Healthy,42.2,NotLactating,1,11/09/2020,0,.,September,,D26,0,nonedr,9
KAMCHEZERA,Drug,98465,4,F,0,0,2,2,0,Healthy,32.6,Lactating,1,11/09/2020,450,.,September,,D26,0,nonedr,9
KAMCHEZERA,Drug,98481,3,F,0,0,3,2,0,Borderline,35.4,Lactating,1,14/02/2020,4700,4700,February,,D7,0,plantdr,2
MKWINDA,Drug,98580,4,F,0,0,3,1.5,0,Borderline,35.4,Lactating,1,04/02/2020,900,950,February,,D13,0,plantdr,2
KAMCHEZERA,Drug,98880,4,F,0,0,2,2,0,Healthy,36.7,Lactating,1,14/02/2020,3350,3350,February,,D7,0,nonedr,2
MAZINGA,Plant,98896,3,F,1,0,2,2.5,0,Healthy,29.9,NotLactating,1,30/01/2020,1150,1150,January,mtawa,P1,0,nonepl,1
MAZINGA,Plant,98897,4.5,F,1,0,2,2,0,Healthy,29.9,Lactating,1,30/01/2020,3900,3900,January,mtawa,P1,0,nonepl,1
MKWINDA,Drug,99081,3,F,1,0,3,2,0,Borderline,28.6,NotLactating,1,04/02/2020,2500,2500,February,,D11,0,plantdr,2
MKWINDA,Drug,99083,4,F,0,0,3,1.5,0,Borderline,36.7,Lactating,1,04/02/2020,100,100,February,,D14,0,plantdr,2
